Time,v_4mM,v_Tlac,Rel.14.5,Rel.16.1,v_Vo2Max
8.2299995422,20.3999996185,19.5,47.0999984741,52.4000015259,23.3999996185
8.3000001907,19.5,18.2000007629,48.0999984741,60,23.5
8.6199998856,19,17.2999992371,50.2999992371,56.7999992371,22
8.8199996948,18.8999996185,17.7999992371,51.7999992371,56.0999984741,23
9.1800003052,17.7999992371,16.5,48.7000007629,54.0999984741,21.5
9.2299995422,17.2000007629,15.6000003815,50.5,59.5999984741,20.5
9.25,15.8999996185,15.1000003815,51.9000015259,57.4000015259,21.2000007629
9.279999733,17.7999992371,16.8999996185,57.5,61.7000007629,21.7000007629
9.5,18.2999992371,17,50.4000015259,56.2000007629,22.2999992371
9.5,17.2999992371,16.3999996185,46.5,50.5999984741,21.2000007629
9.720000267,15.6999998093,14.8999996185,53.5999984741,57.5,20
10.0799999237,15.5,14.6999998093,56.7000007629,62.2999992371,19.1000003815
10.1599998474,15.1999998093,14.1000003815,55.5999984741,64,16.2000007629
10.3800001144,14.1999998093,13.5,49.9000015259,54.7000007629,18.2999992371
10.5,15.3999996185,14.1000003815,53,59.7999992371,17.2999992371
10.5799999237,15,13.6000003815,53.9000015259,61.9000015259,19.7999992371
