"AV Power","P-4mM","P-Tlac","P-Tlac.ll","DMax","Rise.1.PB"
171.4,178.69,187.42,162.39,174.16,174.38
163,170.46,169.81,159.17,165.05,168.75
183.6,201.23,185.6,162.39,179.28,192.34
189.75,191.17,182.25,141.17,170.6,180.8
165.8,135.11,124.79,98.49,133.68,127.91
226.25,267.28,230.43,217.02,219.78,253.4
202.2,219.56,214.96,160.77,197.63,205.92
194.3,244.41,232.31,206.44,196.55,236.41
162.1,146.76,160.81,137,165.12,138.27
171.9,182.15,202.81,188.67,199.02,173.35
202.3,223.77,193.84,183.09,200.02,222.17
171.1,182.53,182.65,169.02,171.95,164.44
183.7,194.69,214.03,181.27,190.37,194.84
209.8,180.9,185,154.47,170.26,190.69
196.95,204.26,190.22,174.16,183.62,176.43
188.8,233.9,218.03,206.44,203.73,241.63
160.4,161.26,144.13,144.03,144.68,158.57
196,220.31,188.14,167.34,172.32,199.02
187.4,160.58,188.15,119.1,170.57,172.38
176.3,171.07,163.3,132.95,161.93,155.99
206.8,254.33,230.8,278.66,207.55,244.33
161.1,153.86,136.36,115.58,130.91,143.7
152.25,146.23,136.49,129.02,128.74,140.84
169.05,206.53,175.74,131.63,158.19,182.16
