Sex,Body_Mass,AP_Lewis,AP_Margaria,Wingate
Female,54,419.0199890137,511.2049865723,616.3350219727
Female,50,503.5549926758,537.8850097656,521.625
Female,58,450.0599975586,450.0599975586,493.9649963379
Female,56,519.7449951172,384.1600036621,536.8499755859
Female,50,408.049987793,430.3099975586,471.8500061035
Female,64,420.7449951172,496.6199951172,476.6700134277
Female,55,377.299987793,426.7799987793,414.6149902344
Female,58,397.8800048828,397.8800048828,387.8949890137
Female,54,370.4400024414,440.6950073242,443.8450012207
Female,60,516.3699951172,525.9349975586,543.3950195313
Female,46,334.9800109863,329.9049987793,335.0549926758
Female,58,376.0799865723,381.299987793,422.9349975586
Female,64,458.9949951172,466.0599975586,452.674987793
Female,62,481.1000061035,451.4949951172,507.7799987793
Female,56.5,405.2099914551,495.2550048828,504.9949951172
Male,65,654.6199951172,654.6199951172,791.6149902344
Male,76,705.3699951172,765.4000244141,872.7700195313
Male,85,788.9000244141,804.6799926758,927.2249755859
Male,69,694.9050292969,694.9050292969,746.1500244141
Male,81,766.8099975586,815.7550048828,799.2750244141
Male,66,664.6900024414,664.6900024414,720.4650268555
Male,65,615.3400268555,654.6199951172,681.3800048828
Male,63,596.4099731445,634.4749755859,606.950012207
Male,79,733.2150268555,869.625,771.8200073242
Male,73,595.7550048828,735.1900024414,806.6400146484
Male,66,568.0100097656,726.5200195313,840.8400268555
Male,75,710.0100097656,710.0100097656,791.4849853516
Male,64.5,526.3850097656,610.6099853516,676.3449707031
Male,74.5,653.0349731445,750.2949829102,753.4650268555
Male,76,782.0399780273,817.5850219727,947.549987793
