Rowing_Time_2000m,Rowing_Time_5000m,Height,Body_Mass,Sit_and_Reach,Peak_Power,Stroke_Length
412,1077,177.8,80.7,16,731,1.77
417,1107,173,78,8,721,1.62
380,1017,195.5,101.6,49,889,1.71
413,1072,179,88,19,753,1.69
367,971,201,94.5,32,897,2.04
409,1071,190.5,95,27,763,1.78
408,1079,177.8,65,21,769,1.68
413,1084,185,75,30,752,1.74
380,1000,193,94,16,821,1.96
389,1046,185,76,18,758,1.71
394,1050,177.8,75,26,768,1.64
391,1044,187,86,17,795,1.78
370,984,194.5,94,16,879,1.84
391,1033,182,80,24,753,1.78
379,1008,187,91,25,885,1.81
394,1068,187,81,14,761,1.71
415,1113,182,85,15,732,1.68
390,1033,193,95,19,841,1.74
